PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,MIN,GP,USG_PCT,AST_PCT,TS_PCT,OFF_RATING,DEF_RATING,PIE,3P_Attempt_Rate,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_BALL_HANDLER_PPP,ISOLATION_FREQ,ISOLATION_PPP,HANDOFF_FREQ,HANDOFF_PPP,OFF_SCREEN_FREQ,OFF_SCREEN_PPP,CUT_FREQ,CUT_PPP,PUTBACK_FREQ,PUTBACK_PPP,POST_UP_FREQ,POST_UP_PPP,PICK__ROLL_ROLL_MAN_FREQ,PICK__ROLL_ROLL_MAN_PPP,SPOT_UP_FREQ,SPOT_UP_PPP,TRANSITION_FREQ,TRANSITION_PPP
1630553,Keon Johnson,BKN,24.4,79,0.212,0.148,0.499,104.1,114.4,0.07,0.5147625160462131,0.137,0.687,0.078,0.72,0.063,0.967,0.029,1.071,0.028,1.407,0.029,0.893,0.0,0.0,0.0,0.0,0.36,0.988,0.22,0.862
1642352,Keshad Johnson,MIA,6.1,16,0.145,0.058,0.718,105.5,104.1,0.114,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630556,Kessler Edwards,DAL,15.2,40,0.11,0.09,0.597,110.0,122.3,0.067,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,1.194,0.076,1.0,0.0,0.0,0.07,1.0,0.392,1.145,0.133,1.19
201142,Kevin Durant,PHX,36.5,62,0.283,0.188,0.642,116.5,117.4,0.142,0.3309608540925267,0.159,0.915,0.189,1.155,0.025,1.027,0.082,1.107,0.026,1.395,0.008,1.417,0.081,0.899,0.045,1.182,0.201,1.258,0.141,1.246
1628989,Kevin Huerter,CHI,24.3,69,0.171,0.124,0.544,114.5,111.7,0.073,0.6473509933774835,0.114,0.789,0.0,0.0,0.167,0.817,0.061,0.773,0.053,1.316,0.0,0.0,0.0,0.0,0.036,1.0,0.368,0.97,0.228,0.976
1628995,Kevin Knox II,GSW,6.0,14,0.202,0.086,0.582,112.7,115.6,0.104,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201567,Kevin Love,MIA,10.9,23,0.23,0.134,0.488,108.7,112.3,0.109,0.5826086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.5,0.107,1.0,0.086,1.083,0.1,0.857,0.307,1.14,0.2,0.679
1641755,Kevin McCullar Jr.,NYK,7.3,4,0.118,0.111,0.381,93.8,96.9,0.066,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629645,Kevin Porter Jr.,MIL,19.8,75,0.248,0.276,0.531,109.1,108.0,0.119,0.2714723926380368,0.415,1.058,0.186,0.786,0.055,0.931,0.0,0.0,0.032,1.294,0.021,1.0,0.0,0.0,0.0,0.0,0.127,0.821,0.192,0.772
1626172,Kevon Looney,GSW,15.0,76,0.125,0.143,0.535,112.5,106.9,0.114,0.0179856115107913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,1.065,0.313,0.956,0.044,1.0,0.125,1.044,0.05,0.778,0.08,1.379
1641718,Keyonte George,UTA,31.5,67,0.237,0.272,0.539,110.1,122.0,0.093,0.5516866158868335,0.316,0.831,0.118,0.806,0.096,1.231,0.052,1.0,0.025,1.4,0.013,0.875,0.0,0.0,0.011,0.692,0.178,1.023,0.146,0.927
203114,Khris Middleton,WAS,22.8,37,0.208,0.251,0.588,114.1,112.6,0.114,0.3946587537091988,0.292,0.91,0.064,0.824,0.09,1.042,0.113,1.278,0.0,0.0,0.0,0.0,0.112,1.367,0.0,0.0,0.154,1.439,0.15,1.025
1630165,Killian Hayes,BKN,27.1,6,0.145,0.274,0.559,109.9,115.6,0.085,0.4883720930232558,0.293,0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276,0.938,0.0,0.0
202691,Klay Thompson,DAL,27.3,72,0.214,0.104,0.552,112.8,115.2,0.083,0.6305587229190421,0.072,0.817,0.042,0.5,0.139,1.051,0.144,0.93,0.04,1.075,0.017,1.235,0.018,0.833,0.028,1.286,0.279,1.101,0.192,1.026
