PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,Archetype_Name,Cluster,USG_PCT,AST_PCT,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_ROLL_MAN_FREQ,SPOT_UP_FREQ,POST_UP_FREQ,OFF_SCREEN_FREQ,CUT_FREQ,ISOLATION_FREQ,TRANSITION_FREQ
1641706,Brandon Miller,CHA,"Elite Off-Screen, Spot Up, Transition",6,0.27,0.182,0.276,0.037,0.166,0.0,0.148,0.0,0.061,0.14
1630314,Brandon Williams,DAL,"Elite P&R Handler, High Playmaking, High Usage",3,0.218,0.228,0.243,0.0,0.2,0.0,0.0,0.0,0.118,0.255
1641729,Brice Sensabaugh,UTA,"Elite Off-Screen, Spot Up, Transition",6,0.208,0.117,0.147,0.029,0.295,0.0,0.079,0.024,0.056,0.203
201572,Brook Lopez,MIL,"Elite Post Up, High Roll Man, High Usage",0,0.157,0.078,0.0,0.242,0.285,0.111,0.0,0.129,0.022,0.069
1628971,Bruce Brown,NOP,"P&R Handler, Transition, Spot Up",5,0.169,0.133,0.211,0.0,0.209,0.0,0.067,0.141,0.056,0.209
1642267,Bub Carrington,WAS,"P&R Handler, Transition, Spot Up",5,0.154,0.213,0.295,0.0,0.227,0.0,0.018,0.034,0.051,0.2
1627741,Buddy Hield,GSW,"Elite Off-Screen, Spot Up, Transition",6,0.196,0.106,0.06,0.017,0.272,0.0,0.189,0.033,0.023,0.253
203468,CJ McCollum,NOP,"Elite P&R Handler, High Playmaking, High Usage",3,0.266,0.192,0.266,0.014,0.21,0.0,0.097,0.015,0.066,0.185
1630595,Cade Cunningham,DET,"Elite Iso, Elite Usage, High Playmaking",4,0.323,0.409,0.407,0.0,0.067,0.055,0.013,0.011,0.111,0.161
1631216,Caleb Houstan,ORL,"Elite Off-Screen, Spot Up, Transition",6,0.115,0.066,0.0,0.076,0.502,0.0,0.081,0.047,0.0,0.18
1628997,Caleb Martin,DAL,"P&R Handler, Transition, Spot Up",5,0.143,0.116,0.165,0.0,0.34,0.0,0.0,0.049,0.097,0.197
1629629,Cam Reddish,LAL,"High Spot Up, Transition",1,0.084,0.049,0.0,0.0,0.419,0.0,0.0,0.128,0.0,0.248
1642285,Cam Spencer,MEM,"High Spot Up, Transition",1,0.148,0.182,0.0,0.0,0.281,0.0,0.0,0.104,0.0,0.313
1630560,Cam Thomas,BKN,"Elite P&R Handler, High Playmaking, High Usage",3,0.328,0.217,0.304,0.0,0.14,0.0,0.055,0.017,0.119,0.116
1641715,Cam Whitmore,HOU,"P&R Handler, Transition, Spot Up",5,0.231,0.09,0.138,0.0,0.271,0.0,0.0,0.048,0.076,0.283
1629661,Cameron Johnson,BKN,"Elite Off-Screen, Spot Up, Transition",6,0.224,0.179,0.145,0.015,0.219,0.0,0.102,0.037,0.049,0.202
