PLAYER_ID,SEASON,PRBallHandler_FREQ,PRBallHandler_PPP,PRRollMan_FREQ,PRRollMan_PPP
203926,2016-17,0.032,1.0,0.0,0.0
2199,2016-17,0.0,0.0,0.17,1.367
2200,2016-17,0.0,0.0,0.264,0.941
203930,2016-17,0.272,0.811,0.0,0.0
203932,2016-17,0.111,0.75,0.045,1.17
203933,2016-17,0.151,0.852,0.0,0.0
203935,2016-17,0.191,0.667,0.0,0.0
2207,2016-17,0.19,0.877,0.014,0.5
1626273,2016-17,0.489,0.739,0.0,0.0
203937,2016-17,0.101,0.929,0.0,0.0
2210,2016-17,0.025,1.0,0.054,0.917
203939,2016-17,0.0,0.0,0.385,1.159
203943,2016-17,0.0,0.0,0.106,1.175
203944,2016-17,0.016,0.882,0.109,1.0
2216,2016-17,0.0,0.0,0.116,0.887
203952,2016-17,0.321,0.827,0.013,1.16
2225,2016-17,0.449,0.912,0.0,0.0
203953,2016-17,0.083,0.819,0.063,0.921
203954,2016-17,0.0,0.0,0.15,1.141
203957,2016-17,0.252,0.777,0.0,0.0
203967,2016-17,0.051,0.468,0.094,0.842
201933,2016-17,0.072,1.043,0.148,0.99
201935,2016-17,0.405,1.014,0.0,0.0
201936,2016-17,0.453,0.893,0.0,0.0
201936,2016-17,0.313,0.464,0.0,0.0
201937,2016-17,0.385,0.802,0.0,0.0
201939,2016-17,0.268,0.922,0.008,1.2
201942,2016-17,0.409,0.967,0.0,0.0
201943,2016-17,0.433,0.751,0.0,0.0
201943,2016-17,0.336,0.489,0.0,0.0
203991,2016-17,0.0,0.0,0.28,1.142
201945,2016-17,0.161,0.745,0.0,0.0
203994,2016-17,0.0,0.0,0.294,0.98
203994,2016-17,0.0,0.0,0.145,1.143
201949,2016-17,0.171,0.774,0.082,1.071
201950,2016-17,0.507,0.813,0.0,0.0
201951,2016-17,0.44,0.896,0.0,0.0
201952,2016-17,0.412,0.978,0.0,0.0
204001,2016-17,0.013,0.688,0.158,1.052
201954,2016-17,0.359,0.856,0.0,0.0
1627362,2016-17,0.298,0.647,0.0,0.0
203999,2016-17,0.0,0.0,0.153,1.146
201959,2016-17,0.0,0.0,0.167,0.945
201959,2016-17,0.0,0.0,0.157,0.771
201960,2016-17,0.044,0.724,0.0,0.0
201961,2016-17,0.08,0.958,0.0,0.0
201962,2016-17,0.327,0.857,0.0,0.0
201967,2016-17,0.0,0.0,0.047,1.789
204020,2016-17,0.276,0.748,0.0,0.0
201973,2016-17,0.0,0.0,0.072,0.609
201975,2016-17,0.08,0.808,0.0,0.0
201976,2016-17,0.269,0.804,0.0,0.0
204025,2016-17,0.433,0.774,0.0,0.0
201977,2016-17,0.251,0.541,0.0,0.0
201980,2016-17,0.065,0.743,0.0,0.0
204028,2016-17,0.0,0.0,0.219,1.057
201988,2016-17,0.305,0.761,0.0,0.0
204038,2016-17,0.203,0.727,0.0,0.0
204038,2016-17,0.299,0.579,0.0,0.0
204060,2016-17,0.239,0.759,0.0,0.0
203076,2016-17,0.01,0.737,0.245,1.101
203077,2016-17,0.084,0.734,0.0,0.0
203078,2016-17,0.225,0.97,0.0,0.0
203079,2016-17,0.279,0.722,0.0,0.0
203080,2016-17,0.0,0.0,0.148,1.0
203081,2016-17,0.434,1.018,0.0,0.0
203082,2016-17,0.167,1.157,0.0,0.0
203082,2016-17,0.144,0.911,0.0,0.0
203083,2016-17,0.0,0.0,0.122,1.061
203084,2016-17,0.04,0.738,0.082,1.048
203085,2016-17,0.335,0.955,0.0,0.0
203086,2016-17,0.0,0.0,0.271,0.846
203087,2016-17,0.403,0.948,0.0,0.0
203089,2016-17,0.0,0.0,0.203,0.928
202066,2016-17,0.188,0.653,0.0,0.0
203090,2016-17,0.045,0.618,0.041,1.129
203092,2016-17,0.0,0.0,0.332,0.877
203093,2016-17,0.0,0.0,0.15,0.967
203095,2016-17,0.241,0.923,0.0,0.0
203096,2016-17,0.0,0.0,0.364,0.55
203101,2016-17,0.0,0.0,0.294,0.8
202083,2016-17,0.123,0.746,0.014,0.5
203107,2016-17,0.259,0.588,0.0,0.0
203109,2016-17,0.054,0.875,0.022,1.15
203110,2016-17,0.05,0.596,0.088,0.829
2403,2016-17,0.0,0.0,0.317,1.25
